name,Kind,Alcohol,Aroma,Taste,Finish
연태 고량주 골드,고량주,34.0,파인애플,"배, 사과",열대 과일
연태 고량주 골드,고량주,34.0,파인애플,"사과, 배",열대 과일
금문고량주 58%,고량주,58.0,"복합적인, 맑은",부드러운,상쾌한
경주,고량주,38.0,"부드러운, 산뜻한","화사한, 시트러스, 감귤","달콤한, 파인애플"
연태 고량주,고량주,34.0,파인애플,"사과, 배",열대 과일
연태 고량주,고량주,34.0,파인애플,"사과, 배","열대 과일, 파인애플"
연태 고량주 레드,고량주,38.8,파인애플,"사과, 배",열대 과일
연태 고량주 블루,고량주,42.0,파인애플,"사과, 배",열대 과일
설원 30%,고량주,30.0,"향긋한, 깔끔한","사과, 배, 달콤한","향기로운, 깔끔한"
연태 프리미엄,고량주,38.0,"수수, 산뜻한","깊은, 조화로운, 풍부한, 깔끔한",깔끔한
연태 고량주,고량주,34.0,파인애플,"배, 사과","열대 과일, 파인애플"
금문고량주 34%,고량주,34.0,"복합적인, 맑은",부드러운,상쾌한
금문고량주 38%,고량주,38.0,"복합적인, 맑은",부드러운,상쾌한
금문고량주,고량주,38.0,"복합적인, 맑은",부드러운,상쾌한
수정방,고량주,52.0,"꽃, 자두, 건자두","달콤한, 상쾌한",깔끔한
마오타이 황금주,고량주,38.0,"과일, 파인애플","부드러운, 조화로운","청량한, 깔끔한, 개운한"
연태 아사간열,고량주,34.0,"포도, 풍부한, 과일","부드러운, 강렬한",깔끔한
공부가주,고량주,39.0,"과일, 꽃","시원한, 달콤한, 부드러운, 과일","깔끔한, 청량한, 부드러운, 깔끔한"
연태 아사간열,고량주,34.0,"포도, 풍부한, 과일","강렬한, 부드러운",깔끔한
금문고량주,고량주,58.0,"복합적인, 맑은, 깔끔한","부드러운, 은은한","상쾌한, 깔끔한, 섬세한"
공부가주 라이트,백주(고량주),32.0,"과일, 꽃, 부드러운","화사한, 달콤한, 열대 과일","사과, 깔끔한, 부드러운"
연태 주선방,고량주,40.0,누룩,달콤한,"감칠맛, 부드러운, 묵직한"
국교 1573  52°,고량주,52.0,"풍부한, 열대 과일, 소나무","깔끔한, 풀내음, 과일","산뜻한, 은은한, 꽃"
국교 1573,고량주,52.0,"풍부한, 열대 과일, 소나무","깔끔한, 풀내음, 과일","산뜻한, 은은한, 꽃"
보월천 금문고량주,고량주,46.0,"복합적인, 맑은","부드러운, 깔끔한","상쾌한, 강렬한, 긴 여운"
사려 고량주,고량주,33.0,"파인애플, 꽃, 곡물","달콤한, 과일, 배","깔끔한, 부드러운, 긴 여운"
연태고량 1930,고량주,52.0,"은은한, 과일, 파인애플","사과, 배, 부드러운","열대 과일, 깔끔한"
강소백 퓨어,고량주,40.0,"사과, 풀, 파인애플","달콤한, 스파이스, 시트러스","부드러운, 향긋한, 깔끔한"
연태 아사간열,고량주,34.0,"포도, 과일, 상큼한","강렬한, 파인애플, 베리","깔끔한, 시원한, 상쾌한"
강소백 퓨어,고량주,40.0,"사과, 풀, 파인애플","달콤한, 스파이스, 시트러스","향긋한, 깔끔한, 부드러운"
북경 고량주,고량주,50.0,"과일, 강렬한, 향긋한","부드러운, 가벼운, 깔끔한","상쾌한, 은은한, 화사한"
천진 금화 고량주,고량주,49.0,"상쾌한, 배, 꽃","부드러운, 진한, 미묘한, 과일","깔끔한, 시원한, 가벼운"
송화강주,고량주,34.0,"은은한, 시트러스, 가벼운","깊은, 깔끔한, 열대 과일","개운한, 향긋한, 부드러운"
연태,고량주,35.0,"꽃, 과일, 곡물","쌀 고유의 단맛, 은은한, 부드러운 타닌","깔끔한, 알코올감, 달콤한"
연태,고량주,35.0,"꽃, 과일, 곡물","쌀 고유의 단맛, 은은한, 부드러운","달콤한, 깔끔한, 알코올감"
연태 스페셜,고량주,35.0,"꽃, 과일, 곡물","쌀 고유의 단맛, 부드러운, 은은한","달콤한, 깔끔한, 알코올감"
금문 65주년 기념주,고량주,53.0,"맑은, 은은한, 과일","부드러운, 묵직한, 균형 잡힌","산뜻한, 청량한, 깔끔한"
귀주뇌교주,고량주,42.0,"열대 과일, 고수, 진한","풍부한, 깔끔한, 상쾌한","긴 여운, 부드러운, 은은한"
국수주 관우,고량주,38.0,"과일, 산뜻한, 은은한","깔끔한, 스파이시, 달콤한","가벼운, 청량한, 열대 과일"
공자주,고량주,38.0,"상큼한, 청사과, 시트러스","가벼운, 부드러운, 향긋한","은은한, 시트러스, 상쾌한"
공부가주 붕자원방,고량주,52.0,"꽃, 과일, 상쾌한","시원한, 달콤한, 부드러운","청량한, 깔끔한, 열대 과일"
공부가주 득의,고량주,36.0,"꽃, 과일, 시원한, 배","달콤한, 부드러운, 감미로운","깔끔한, 상쾌한, 파인애플"
금주전장진품,고량주,56.0,"복합적인, 맑은, 깔끔한","부드러운, 은은한, 꽃","긴 여운, 풍부한, 그윽한"
고정공주 연분원장 8년,고량주,50.0,"과일, 꽃, 곡물","진한, 향긋한, 부드러운","묵직한, 감미로운, 긴 여운"
노백분주 10년,고량주,53.0,"가벼운, 과일, 누룩","산미, 쌉쌀한, 스파이시","미묘한, 곡물, 풀내음"
설원 30%,고량주,30.0,"깔끔한, 향긋한","달콤한, 배, 사과","깔끔한, 향기로운"
프리미엄 진년 8년 금문고량주,고량주,56.0,"맑은, 은은한, 과일","부드러운, 풍부한, 균형 잡힌","상쾌한, 긴 여운, 복합적인"
오량액 52%,고량주,52.0,"깊은, 향긋한, 은은한","강렬한, 균형 잡힌, 달콤한","맑은, 상쾌한, 깔끔한"
이과두주,고량주,56.0,"향신료, 꽃, 과일","알싸한, 묵직한, 열대 과일","강렬한, 깔끔한, 스파이시"
