name,Kind,Alcohol,Aroma,Taste,Finish
배다리도가 주교주,우리술,16.0,"누룩, 쌀","달콤한, 구수한","부드러운, 은은한"
화요 X.P,우리술,41.0,"풍부한, 오크","열대 과일, 곡물, 은은한","오크, 은은한"
티나,리큐르(우리술),16.0,"딸기, 레몬","딸기, 달콤한","달콤한, 쌉쌀한"
티나 홈파티 키트,리큐르(우리술),16.0,"딸기, 레몬","딸기, 달콤한","달콤한, 쌉쌀한"
화요 X.P,우리술,41.0,"풍부한, 오크","곡물, 열대 과일, 은은한","오크, 은은한"
전주 이강주,우리술,25.0,"대나무, 한약재","알싸한, 달콤한, 부드러운","깔끔한, 상쾌한"
문경바람 오크 25%,우리술,25.0,"스모키, 삼나무, 오크","상큼한, 부드러운","사과, 오크"
문경바람 백자 40%,우리술,40.0,"민트, 허브, 삼나무, 과일","상큼한, 진한, 사과, 사과 껍질","사과, 산뜻한"
디어 미드나잇,우리술,12.0,"시원한, 청량한","부드러운, 참외, 깨끗한","은은한, 아카시아꽃"
티나,리큐르(우리술),16.0,"레몬, 딸기","딸기, 달콤한","달콤한, 쌉쌀한"
문경바람 오크 40%,우리술,40.0,"스모키, 삼나무, 오크","상큼한, 진한","사과, 오크"
단감명작,"화이트 와인, 우리술",7.0,"꽃, 단감, 향긋한","달콤한, 산뜻한, 상큼한","부드러운, 은은한, 가벼운"
도원결의 리큐르 15%,"리큐르, 우리술",15.0,"복숭아, 과일, 과일 잼","산뜻한, 달콤한, 상큼한","은은한, 부드러운, 청량한"
감홍로,우리술,40.0,"깊은, 생강, 약초, 바닐라","달콤한, 진한, 계피, 감초, 쌉쌀한","긴 여운, 균형 잡힌"
이강주 2호,우리술,25.0,"대나무, 한약재","알싸한, 달콤한, 부드러운","깔끔한, 상쾌한"
이강주 일러스트 25,우리술,25.0,"대나무, 한약재","알싸한, 달콤한, 부드러운","깔끔한, 상쾌한"
이강주 3호,우리술,25.0,"대나무, 한약재","알싸한, 달콤한, 부드러운","깔끔한, 상쾌한"
감홍로 별주부전,우리술,40.0,"깊은, 생강, 약초, 바닐라","달콤한, 진한, 계피, 감초, 쌉쌀한","긴 여운, 균형 잡힌"
이강주 25%,우리술,25.0,"대나무, 한약재","알싸한, 달콤한, 부드러운","깔끔한, 상쾌한"
이강주,우리술,25.0,"대나무, 한약재","알싸한, 달콤한, 부드러운","깔끔한, 상쾌한"
이강주 5호,"우리술, 리큐르",25.0,"대나무, 한약재","알싸한, 달콤한, 부드러운","깔끔한, 상쾌한"
감홍로 40%,우리술,40.0,"깊은, 생강, 약초, 바닐라","달콤한, 진한, 계피, 감초, 쌉쌀한","긴 여운, 균형 잡힌"
이강주 1호,우리술,25.0,"대나무, 한약재","알싸한, 달콤한, 부드러운","깔끔한, 상쾌한"
이강주 특 5호,우리술,25.0,"대나무, 한약재","알싸한, 달콤한, 부드러운","깔끔한, 상쾌한"
회곡 안동소주 22,우리술 > 증류주,22.0,"산뜻한, 누룩, 고소한, 깨끗한","쌀, 곡물, 은은한","부드러운, 묵직한, 깔끔한"
오늘도 수고했어 오미자 와인,우리술,16.5,"오미자, 새콤한","부드러운, 부드러운","균형 잡힌, 긴 여운"
티나,리큐르(우리술),16.0,"딸기, 레몬","달콤한, 딸기","달콤한, 쌉쌀한"
밀담,우리술(럼),24.0,"담백한, 달콤한, 사탕수수","깔끔한, 부드러운",깔끔한
이강주 흑토끼 25,우리술,25.0,"대나무, 한약재","알싸한, 달콤한, 부드러운","깔끔한, 상쾌한"
죽력고 흑토끼 25,우리술(증류주),25.0,"대나무, 생강, 달콤한","스파이시, 계피, 풀내음","긴 여운, 달콤한"
감홍로 흑토끼,우리술,40.0,"깊은, 생강, 약초, 바닐라","달콤한, 진한, 계피, 감초, 쌉쌀한","긴 여운, 균형 잡힌"
예천주 럼 phat 네이비,우리술(럼),36.5,"은은한, 달콤한, 사탕수수","달콤한, 알코올, 살구",부드러운
예천주 럼 phat 옐로우,우리술(럼),22.0,"과일, 달콤한, 살구","과일, 달콤한, 살구 잼","달콤한, 깔끔한"
예천주 럼 phat 그린,우리술(럼),16.8,"살구, 과일, 달콤한","살구 잼, 과일, 달콤한","깔끔한, 달콤한"
예천주 럼 phat 블랙,우리술(럼),42.0,"살구, 과일, 달콤한","살구 잼, 과일, 달콤한","달콤한, 강렬한"
적송자 72,우리술(증류주),72.0,"누룩, 쌀, 은은한",쌀 고유의 단맛,"알코올, 긴 여운"
솔송주 40,우리술(증류주),40.0,"솔잎, 허브","알코올감, 소나무",깔끔한
볼빨간미자,우리술(리큐르),16.0,"오미자, 산미",오미자,달콤한
문경바람 백자 40%,우리술,40.0,"민트, 허브, 삼나무, 과일","상큼한, 진한, 사과, 사과 껍질","산뜻한, 사과"
오크젠,우리술(증류주),25.0,"꽃, 바닐라, 오크","부드러운, 달콤한, 깔끔한","쌀, 참나무, 은은한"
아이엠더문,"우리술, 리큐르",17.0,"상큼한, 열대 과일, 베리","망고, 자몽, 파인애플","달콤한, 풍부한, 향기로운"
인어교주해적술,"우리술, 리큐르",15.0,"포도, 과일, 신선한","상큼한, 달콤한, 가벼운","깔끔한, 부드러운, 산미"
오매락퍽 세레머니주 40,"우리술, 리큐르",40.0,"매실, 배, 과일","부드러운, 강렬한, 알코올","은은한, 달콤한, 깊은"
동강 더덕주,"우리술, 리큐르",20.0,"인삼, 달콤한, 꽃","알싸한, 은은한, 가벼운","나무, 스파이시, 허브"
제이엠티 16,"리큐르, 우리술",16.0,"자두, 과일, 향긋한","달콤한, 상큼한, 진한","은은한, 부드러운, 풍성한"
부자 진 서울,"진, 우리술",44.0,"허브, 가벼운, 신선한","솔잎, 쑥, 묵직한","오렌지 껍질, 쌉쌀한, 달콤한"
부자 진 오크,"진, 우리술",44.0,"섬세한, 풍부한, 우디","주니퍼 베리, 감귤, 시트러스","균형 잡힌, 달콤한, 따뜻한, 쌉쌀한, 바닐라"
부자 진 오미자,"진, 우리술",44.0,"오미자, 산뜻한, 허브","타르트, 쌉쌀한, 풀","균형 잡힌, 긴 여운, 달콤한"
부자 진 개똥쑥,"진, 우리술",44.0,"허브, 풀내음, 마른 흙","쑥, 묵직한, 복합적인","균형 잡힌, 달콤한, 쌉쌀한"
아이엠더문,"리큐르, 우리술",17.0,"사과, 포도, 망고, 블러드 오렌지, 딸기","달콤한, 새콤한, 과일, 쥬시","향기로운, 청량한, 풍부한"
어떤유자06,"우리술, 리큐르",6.0,"유자, 향긋한, 강렬한","달콤한, 상큼한, 신선한","유자, 산뜻한, 풍부한"
고도리 샤인머스캣 와인,"화이트 와인, 우리술",10.5,"배, 복숭아, 살구, 머스캣","사과, 시트러스, 레몬, 머스캣","새콤한, 산뜻한, 은은한"
샤또 미소 레드 드라이,"레드 와인, 우리술",12.0,"검붉은 과일, 오크, 타바코","붉은 베리류, 달콤한, 타닌, 쌉쌀한","향긋한, 긴 여운, 은은한"
옐로우펀치,"사이더, 우리술",5.2,"파인애플, 망고, 사과","열대 과일, 달콤한, 탄산감","시원한, 깔끔한, 산뜻한"
264 청포도 와인 절정,"화이트 와인, 우리술",13.5,"포도 껍질, 상큼한, 풍부한","쌉쌀한, 핵과류, 산미","미디엄 드라이, 청량한, 산뜻한"
264 청포도 와인 꽃,"화이트 와인, 우리술",11.5,"청포도, 꽃, 페퍼민트","싱그러운, 달콤한, 박하","미디엄 드라이, 프루티, 산미"
행복한상상 초코향,"우리술, 리큐르",15.0,"초콜릿, 사과, 복숭아","달콤한, 부드러운, 진한","초콜릿, 은은한, 과일"
초련,"주정강화 와인, 우리술",20.0,"초콜릿, 견과류, 라즈베리, 오크, 브랜디, 검붉은 과일","머루, 말린 과일, 블루베리, 크랜베리, 블랙베리","균형 잡힌, 머루, 알코올감, 브랜디"
멜론서리,"사이더, 우리술",5.0,"메론, 참외, 달콤한","민트, 가벼운, 탄산감","상쾌한, 깔끔한, 은은한"
이강주 29호,"리큐르, 우리술",25.0,"대나무, 한약재, 풀내음","알싸한, 달콤한, 곡물","부드러운, 은은한, 복합적인"
264 청포도 와인 광야,"화이트 와인, 우리술",12.5,"청포도, 과일, 향긋한","농익은 포도, 상큼한, 달콤한","쌉쌀한, 산뜻한, 약간의 산미"
오미로제 결,"우리술, 스파클링 와인",12.0,"오미자, 꽃, 베리, 허브","오미자, 새콤한, 달콤한","탄산감, 균형 잡힌, 스파이시"
어떤유자06,우리술,6.0,"유자, 향긋한, 강렬한","달콤한, 상큼한, 신선한","유자, 산뜻한, 풍부한"
시나브로 에뚜왈 스파클링,"우리술, 스파클링 와인",5.0,"파인애플, 바나나, 배","청포도, 복숭아, 풋사과","청량감, 신선한, 프루티"
루드베리,"사이더, 우리술",4.5,"사과, 딸기, 바질","상큼한, 달콤한, 경쾌한 탄산","시트러스, 레몬 그라스, 복합적인"
